['C', 'M', 'B', 'D', 'H', 'J', 'L', 'N', 'E', 'O', 'I', 'K', 'F', 'G', 'A'] 911
['D', 'H', 'J', 'L', 'N', 'K', 'F', 'E', 'B', 'G', 'A', 'M', 'C', 'O', 'I'] 818
['H', 'J', 'L', 'N', 'E', 'B', 'O', 'I', 'K', 'A', 'M', 'C', 'G', 'F', 'D'] 887
['D', 'O', 'B', 'G', 'I', 'M', 'C', 'E', 'N', 'H', 'J', 'L', 'K', 'F', 'A'] 898
['C', 'M', 'B', 'E', 'I', 'D', 'A', 'O', 'N', 'H', 'L', 'J', 'K', 'G', 'F'] 1059
['D', 'K', 'F', 'G', 'E', 'B', 'O', 'I', 'A', 'H', 'L', 'N', 'J', 'M', 'C'] 1003
['B', 'A', 'M', 'D', 'H', 'J', 'L', 'N', 'E', 'O', 'I', 'K', 'F', 'G', 'C'] 1082
['D', 'O', 'I', 'A', 'C', 'M', 'B', 'E', 'N', 'H', 'J', 'L', 'K', 'F', 'G'] 876
['L', 'A', 'D', 'H', 'J', 'G', 'E', 'B', 'O', 'I', 'M', 'C', 'N', 'K', 'F'] 823
['I', 'E', 'B', 'M', 'C', 'D', 'A', 'H', 'L', 'N', 'J', 'K', 'G', 'F', 'O'] 893
['N', 'D', 'H', 'J', 'E', 'B', 'O', 'L', 'I', 'K', 'A', 'M', 'C', 'G', 'F'] 1003
['B', 'L', 'I', 'K', 'E', 'O', 'N', 'H', 'J', 'M', 'C', 'D', 'A', 'G', 'F'] 1056
['D', 'I', 'A', 'E', 'C', 'O', 'N', 'H', 'K', 'M', 'B', 'L', 'J', 'F', 'G'] 944
['I', 'E', 'B', 'M', 'C', 'O', 'J', 'D', 'A', 'H', 'L', 'N', 'K', 'G', 'F'] 1064
['B', 'L', 'I', 'K', 'E', 'O', 'N', 'H', 'J', 'M', 'C', 'A', 'G', 'F', 'D'] 1152
['H', 'J', 'N', 'E', 'B', 'L', 'O', 'I', 'K', 'A', 'M', 'C', 'G', 'F', 'D'] 960
['H', 'J', 'L', 'N', 'E', 'O', 'I', 'K', 'A', 'M', 'C', 'B', 'G', 'F', 'D'] 1017
['E', 'C', 'M', 'B', 'D', 'H', 'J', 'G', 'O', 'I', 'F', 'N', 'L', 'K', 'A'] 878
['J', 'I', 'E', 'B', 'G', 'A', 'M', 'C', 'D', 'H', 'L', 'N', 'O', 'K', 'F'] 954
['O', 'M', 'B', 'E', 'C', 'D', 'A', 'H', 'L', 'I', 'J', 'K', 'G', 'F', 'N'] 1073
['C', 'M', 'B', 'H', 'J', 'L', 'N', 'E', 'O', 'I', 'K', 'G', 'F', 'D', 'A'] 897
['D', 'G', 'I', 'A', 'M', 'B', 'E', 'C', 'O', 'N', 'H', 'J', 'L', 'K', 'F'] 999
['I', 'M', 'B', 'E', 'C', 'D', 'A', 'H', 'L', 'N', 'J', 'K', 'G', 'F', 'O'] 868
['J', 'L', 'H', 'N', 'E', 'B', 'O', 'I', 'K', 'A', 'M', 'C', 'G', 'F', 'D'] 917
['H', 'N', 'E', 'B', 'O', 'I', 'A', 'M', 'C', 'L', 'J', 'K', 'G', 'F', 'D'] 881
['E', 'C', 'M', 'H', 'J', 'D', 'G', 'B', 'O', 'I', 'F', 'N', 'L', 'K', 'A'] 1069
['B', 'L', 'I', 'K', 'E', 'O', 'N', 'H', 'J', 'M', 'C', 'G', 'F', 'D', 'A'] 1100
['H', 'J', 'N', 'E', 'B', 'O', 'I', 'A', 'M', 'C', 'G', 'L', 'K', 'F', 'D'] 1013
