['D', 'O', 'B', 'G', 'I', 'M', 'C', 'E', 'N', 'H', 'J', 'L', 'K', 'F', 'A'] 898
['L', 'A', 'D', 'H', 'J', 'G', 'E', 'B', 'O', 'I', 'M', 'C', 'N', 'K', 'F'] 823
['H', 'J', 'L', 'N', 'E', 'B', 'K', 'F', 'G', 'A', 'M', 'C', 'D', 'O', 'I'] 757
['I', 'M', 'B', 'E', 'C', 'D', 'A', 'H', 'L', 'N', 'J', 'K', 'G', 'F', 'O'] 868
['E', 'C', 'M', 'B', 'D', 'H', 'J', 'G', 'O', 'I', 'F', 'N', 'L', 'K', 'A'] 878
['C', 'M', 'B', 'D', 'H', 'J', 'L', 'N', 'E', 'O', 'I', 'K', 'F', 'G', 'A'] 911
['J', 'M', 'C', 'G', 'E', 'B', 'O', 'I', 'A', 'D', 'H', 'L', 'N', 'K', 'F'] 957
['D', 'H', 'J', 'L', 'N', 'K', 'F', 'E', 'B', 'G', 'A', 'M', 'C', 'O', 'I'] 818
['D', 'I', 'A', 'M', 'C', 'E', 'B', 'O', 'N', 'H', 'J', 'L', 'K', 'F', 'G'] 906
['H', 'N', 'E', 'B', 'O', 'I', 'A', 'M', 'C', 'L', 'J', 'K', 'G', 'F', 'D'] 881
['D', 'O', 'I', 'A', 'C', 'M', 'B', 'E', 'N', 'H', 'J', 'L', 'K', 'F', 'G'] 876
['H', 'J', 'I', 'E', 'B', 'K', 'F', 'G', 'A', 'M', 'C', 'D', 'O', 'N', 'L'] 764
['D', 'I', 'A', 'E', 'C', 'O', 'N', 'H', 'K', 'M', 'B', 'L', 'J', 'F', 'G'] 944
['B', 'L', 'N', 'K', 'E', 'O', 'I', 'H', 'J', 'M', 'C', 'G', 'F', 'D', 'A'] 1100
['I', 'E', 'B', 'M', 'C', 'D', 'A', 'H', 'L', 'N', 'J', 'K', 'G', 'F', 'O'] 893
['D', 'I', 'M', 'H', 'E', 'A', 'C', 'O', 'N', 'B', 'J', 'L', 'K', 'F', 'G'] 942
['I', 'E', 'B', 'M', 'C', 'D', 'A', 'H', 'N', 'J', 'L', 'K', 'G', 'F', 'O'] 931
['H', 'J', 'L', 'N', 'E', 'B', 'O', 'I', 'K', 'A', 'M', 'C', 'G', 'F', 'D'] 887
['C', 'M', 'B', 'E', 'I', 'D', 'A', 'O', 'N', 'H', 'L', 'J', 'K', 'G', 'F'] 1059
['H', 'J', 'N', 'E', 'B', 'K', 'F', 'G', 'A', 'M', 'C', 'D', 'O', 'I', 'L'] 870
['N', 'E', 'B', 'D', 'H', 'J', 'L', 'O', 'I', 'K', 'A', 'M', 'C', 'G', 'F'] 1013
['H', 'J', 'N', 'E', 'B', 'O', 'I', 'A', 'M', 'C', 'G', 'L', 'K', 'F', 'D'] 1013
['H', 'J', 'I', 'N', 'E', 'B', 'K', 'F', 'G', 'A', 'M', 'C', 'D', 'O', 'L'] 893
['I', 'L', 'K', 'E', 'O', 'N', 'H', 'J', 'B', 'M', 'C', 'D', 'A', 'G', 'F'] 921
['C', 'M', 'D', 'H', 'J', 'G', 'E', 'B', 'O', 'I', 'F', 'N', 'L', 'K', 'A'] 979
['C', 'M', 'J', 'N', 'E', 'B', 'D', 'I', 'A', 'H', 'L', 'K', 'G', 'F', 'O'] 969
['K', 'F', 'D', 'H', 'J', 'G', 'E', 'B', 'O', 'I', 'A', 'L', 'N', 'M', 'C'] 1029
['D', 'K', 'F', 'G', 'E', 'B', 'O', 'I', 'A', 'H', 'L', 'N', 'J', 'M', 'C'] 1003
['C', 'M', 'B', 'H', 'J', 'L', 'N', 'E', 'O', 'I', 'K', 'G', 'F', 'D', 'A'] 897
['H', 'J', 'L', 'N', 'E', 'B', 'O', 'I', 'K', 'A', 'G', 'M', 'C', 'F', 'D'] 1052
['B', 'L', 'I', 'K', 'E', 'O', 'N', 'H', 'J', 'M', 'C', 'D', 'A', 'G', 'F'] 1056
['D', 'G', 'I', 'A', 'M', 'B', 'E', 'C', 'O', 'N', 'H', 'J', 'L', 'K', 'F'] 999
['I', 'E', 'B', 'M', 'C', 'O', 'J', 'D', 'A', 'H', 'L', 'N', 'K', 'G', 'F'] 1064
['H', 'J', 'N', 'E', 'B', 'L', 'O', 'I', 'K', 'A', 'M', 'C', 'G', 'F', 'D'] 960
