['L', 'A', 'C', 'N', 'H', 'O', 'I', 'B', 'D', 'J', 'F', 'G', 'K', 'M', 'E'] 1497
['N', 'L', 'B', 'C', 'H', 'G', 'A', 'E', 'J', 'I', 'M', 'K', 'F', 'D', 'O'] 1803
['N', 'O', 'I', 'H', 'K', 'J', 'L', 'A', 'C', 'F', 'G', 'E', 'B', 'M', 'D'] 1173
['E', 'F', 'I', 'J', 'G', 'A', 'N', 'L', 'K', 'M', 'C', 'B', 'O', 'H', 'D'] 1716
['L', 'K', 'G', 'O', 'J', 'B', 'E', 'M', 'N', 'A', 'F', 'D', 'H', 'C', 'I'] 1864
['K', 'F', 'G', 'B', 'A', 'C', 'H', 'M', 'L', 'E', 'N', 'O', 'I', 'J', 'D'] 1911
['D', 'L', 'A', 'C', 'I', 'J', 'N', 'H', 'O', 'F', 'G', 'K', 'M', 'B', 'E'] 1655
['M', 'F', 'E', 'B', 'J', 'G', 'N', 'H', 'I', 'L', 'C', 'A', 'O', 'D', 'K'] 1825
['B', 'A', 'C', 'O', 'N', 'H', 'J', 'M', 'L', 'G', 'K', 'F', 'D', 'I', 'E'] 1545
['C', 'D', 'M', 'H', 'L', 'J', 'G', 'N', 'E', 'B', 'O', 'I', 'K', 'F', 'A'] 1209
['E', 'O', 'D', 'J', 'F', 'I', 'H', 'L', 'K', 'A', 'G', 'M', 'C', 'N', 'B'] 1722
['E', 'O', 'F', 'B', 'M', 'J', 'D', 'G', 'L', 'C', 'A', 'I', 'K', 'H', 'N'] 1871
['A', 'E', 'C', 'O', 'N', 'H', 'J', 'M', 'L', 'B', 'K', 'G', 'D', 'I', 'F'] 1763
['N', 'O', 'I', 'A', 'E', 'J', 'L', 'H', 'C', 'G', 'K', 'F', 'B', 'M', 'D'] 1426
['O', 'J', 'K', 'H', 'C', 'M', 'B', 'A', 'F', 'G', 'N', 'D', 'I', 'L', 'E'] 1843
['A', 'C', 'M', 'K', 'J', 'G', 'E', 'I', 'H', 'L', 'N', 'F', 'B', 'O', 'D'] 1810
