['E', 'F', 'I', 'J', 'G', 'A', 'N', 'L', 'K', 'M', 'C', 'B', 'O', 'H', 'D'] 1716
['N', 'O', 'I', 'H', 'K', 'J', 'L', 'A', 'C', 'F', 'G', 'E', 'B', 'M', 'D'] 1173
['A', 'N', 'O', 'I', 'D', 'J', 'L', 'H', 'C', 'G', 'K', 'F', 'B', 'M', 'E'] 1356
['B', 'A', 'C', 'O', 'N', 'H', 'J', 'M', 'L', 'G', 'K', 'F', 'D', 'I', 'E'] 1545
['D', 'H', 'G', 'C', 'J', 'K', 'M', 'N', 'L', 'E', 'B', 'O', 'I', 'F', 'A'] 1062
['L', 'A', 'C', 'N', 'H', 'O', 'I', 'B', 'D', 'J', 'F', 'G', 'K', 'M', 'E'] 1497
['M', 'J', 'D', 'I', 'A', 'G', 'L', 'K', 'H', 'B', 'O', 'N', 'E', 'F', 'C'] 1638
['E', 'O', 'D', 'J', 'I', 'H', 'L', 'K', 'A', 'M', 'C', 'B', 'G', 'F', 'N'] 1287
['A', 'E', 'F', 'G', 'J', 'K', 'M', 'C', 'L', 'I', 'N', 'H', 'O', 'B', 'D'] 1582
['C', 'M', 'N', 'B', 'G', 'E', 'D', 'O', 'H', 'L', 'J', 'I', 'K', 'F', 'A'] 1652
['F', 'A', 'C', 'O', 'N', 'H', 'J', 'M', 'L', 'B', 'K', 'G', 'D', 'I', 'E'] 1691
['D', 'O', 'C', 'A', 'K', 'J', 'L', 'M', 'I', 'F', 'G', 'E', 'N', 'H', 'B'] 1202
['C', 'M', 'O', 'H', 'L', 'J', 'G', 'N', 'E', 'B', 'K', 'A', 'F', 'D', 'I'] 1719
['N', 'O', 'I', 'A', 'E', 'J', 'L', 'H', 'C', 'G', 'K', 'F', 'B', 'M', 'D'] 1426
['J', 'G', 'M', 'B', 'E', 'O', 'I', 'K', 'H', 'C', 'L', 'N', 'D', 'F', 'A'] 1596
['M', 'F', 'E', 'B', 'J', 'G', 'N', 'H', 'I', 'L', 'C', 'A', 'O', 'D', 'K'] 1825
['C', 'D', 'M', 'H', 'L', 'J', 'G', 'N', 'E', 'B', 'O', 'I', 'K', 'F', 'A'] 1209
['K', 'J', 'G', 'B', 'A', 'C', 'H', 'M', 'L', 'E', 'N', 'O', 'I', 'F', 'D'] 1770
['N', 'O', 'M', 'B', 'I', 'A', 'E', 'J', 'L', 'H', 'C', 'G', 'K', 'F', 'D'] 1629
['N', 'O', 'I', 'A', 'C', 'D', 'J', 'F', 'H', 'L', 'K', 'G', 'M', 'E', 'B'] 1830
['A', 'C', 'M', 'K', 'J', 'G', 'E', 'I', 'H', 'L', 'N', 'F', 'B', 'O', 'D'] 1810
['F', 'B', 'A', 'G', 'J', 'K', 'M', 'C', 'L', 'I', 'N', 'H', 'E', 'O', 'D'] 1491
