['N', 'I', 'A', 'K', 'E', 'O', 'J', 'L', 'H', 'C', 'F', 'G', 'B', 'M', 'D'] 1576
['N', 'I', 'A', 'K', 'E', 'O', 'J', 'L', 'C', 'H', 'F', 'G', 'B', 'M', 'D'] 1834
['D', 'H', 'G', 'C', 'J', 'K', 'M', 'N', 'L', 'E', 'B', 'O', 'I', 'F', 'A'] 1062
['N', 'O', 'I', 'A', 'E', 'J', 'L', 'H', 'C', 'G', 'K', 'F', 'B', 'M', 'D'] 1426
['C', 'D', 'M', 'H', 'L', 'J', 'G', 'N', 'E', 'B', 'O', 'I', 'K', 'F', 'A'] 1209
['O', 'H', 'J', 'L', 'A', 'C', 'F', 'N', 'E', 'B', 'K', 'D', 'I', 'M', 'G'] 1422
['F', 'B', 'A', 'G', 'J', 'K', 'M', 'C', 'L', 'I', 'N', 'H', 'E', 'O', 'D'] 1491
['O', 'I', 'E', 'J', 'D', 'H', 'L', 'K', 'A', 'M', 'C', 'B', 'G', 'F', 'N'] 1145
['O', 'H', 'L', 'J', 'N', 'K', 'D', 'A', 'C', 'F', 'G', 'E', 'B', 'M', 'I'] 1257
['N', 'O', 'I', 'H', 'K', 'J', 'L', 'A', 'C', 'F', 'G', 'E', 'B', 'M', 'D'] 1173
['N', 'I', 'K', 'A', 'E', 'O', 'J', 'L', 'H', 'C', 'F', 'G', 'B', 'M', 'D'] 1441
['F', 'A', 'O', 'N', 'I', 'C', 'D', 'J', 'H', 'L', 'K', 'G', 'M', 'E', 'B'] 1638
['N', 'O', 'I', 'C', 'K', 'J', 'L', 'E', 'H', 'A', 'G', 'F', 'B', 'M', 'D'] 1502
['D', 'O', 'C', 'A', 'K', 'J', 'L', 'M', 'I', 'F', 'G', 'E', 'N', 'H', 'B'] 1202
['A', 'N', 'O', 'I', 'D', 'J', 'L', 'H', 'C', 'G', 'K', 'F', 'B', 'M', 'E'] 1356
['B', 'A', 'F', 'O', 'N', 'H', 'J', 'M', 'L', 'G', 'K', 'C', 'D', 'I', 'E'] 1545
['D', 'G', 'M', 'B', 'E', 'A', 'C', 'O', 'N', 'H', 'J', 'L', 'K', 'F', 'I'] 1289
