['M', 'H', 'L', 'G', 'E', 'B', 'O', 'I', 'F', 'N', 'J', 'K', 'C', 'D', 'A'] 1098
['E', 'O', 'A', 'J', 'I', 'K', 'M', 'B', 'H', 'C', 'L', 'N', 'D', 'G', 'F'] 1176
['D', 'O', 'C', 'A', 'K', 'J', 'L', 'M', 'I', 'F', 'G', 'E', 'N', 'H', 'B'] 1202
['C', 'D', 'M', 'H', 'L', 'J', 'G', 'N', 'E', 'B', 'O', 'I', 'K', 'F', 'A'] 1209
['C', 'D', 'M', 'H', 'G', 'J', 'L', 'N', 'E', 'B', 'O', 'I', 'K', 'F', 'A'] 1210
['N', 'I', 'E', 'O', 'J', 'L', 'H', 'K', 'A', 'M', 'C', 'B', 'G', 'F', 'D'] 1261
['C', 'M', 'J', 'E', 'I', 'H', 'L', 'N', 'K', 'A', 'G', 'F', 'B', 'O', 'D'] 1371
['O', 'I', 'H', 'J', 'L', 'E', 'D', 'K', 'A', 'M', 'C', 'B', 'G', 'F', 'N'] 1476
['D', 'H', 'G', 'C', 'J', 'K', 'M', 'N', 'L', 'E', 'B', 'O', 'I', 'F', 'A'] 1062
['N', 'O', 'I', 'A', 'E', 'J', 'L', 'H', 'C', 'G', 'K', 'F', 'B', 'M', 'D'] 1426
['E', 'D', 'O', 'J', 'I', 'H', 'L', 'K', 'A', 'M', 'C', 'B', 'G', 'F', 'N'] 1400
['O', 'I', 'E', 'J', 'D', 'H', 'L', 'K', 'A', 'M', 'C', 'B', 'G', 'F', 'N'] 1145
['L', 'A', 'C', 'I', 'B', 'J', 'N', 'O', 'E', 'H', 'G', 'K', 'F', 'M', 'D'] 1650
['J', 'G', 'I', 'A', 'M', 'B', 'C', 'D', 'H', 'L', 'N', 'E', 'O', 'K', 'F'] 1216
['J', 'E', 'I', 'O', 'D', 'H', 'L', 'K', 'A', 'M', 'C', 'B', 'G', 'F', 'N'] 1388
['I', 'E', 'O', 'J', 'K', 'F', 'D', 'A', 'H', 'L', 'N', 'G', 'M', 'C', 'B'] 1304
['N', 'O', 'I', 'K', 'J', 'L', 'A', 'H', 'C', 'F', 'G', 'E', 'B', 'M', 'D'] 1194
['D', 'C', 'I', 'A', 'M', 'B', 'E', 'O', 'K', 'H', 'J', 'L', 'F', 'G', 'N'] 1568
['O', 'H', 'L', 'J', 'N', 'K', 'D', 'A', 'C', 'F', 'G', 'E', 'B', 'M', 'I'] 1257
['J', 'G', 'I', 'A', 'M', 'B', 'O', 'K', 'H', 'C', 'L', 'F', 'N', 'D', 'E'] 1675
['N', 'O', 'I', 'H', 'K', 'J', 'L', 'A', 'C', 'F', 'G', 'E', 'B', 'M', 'D'] 1173
['C', 'D', 'M', 'H', 'L', 'J', 'G', 'N', 'E', 'O', 'B', 'I', 'K', 'F', 'A'] 1209
['E', 'O', 'D', 'J', 'I', 'H', 'L', 'K', 'A', 'M', 'C', 'B', 'G', 'F', 'N'] 1287
['A', 'N', 'O', 'I', 'D', 'J', 'L', 'H', 'C', 'G', 'K', 'F', 'B', 'M', 'E'] 1356
['D', 'G', 'M', 'B', 'E', 'A', 'C', 'O', 'N', 'H', 'J', 'L', 'K', 'F', 'I'] 1289
['D', 'A', 'M', 'G', 'E', 'B', 'C', 'O', 'N', 'H', 'J', 'L', 'K', 'F', 'I'] 1427
['D', 'O', 'I', 'H', 'K', 'J', 'L', 'A', 'C', 'F', 'M', 'G', 'E', 'N', 'B'] 1681
['J', 'G', 'M', 'B', 'E', 'O', 'I', 'K', 'H', 'C', 'L', 'N', 'D', 'F', 'A'] 1596
['E', 'O', 'J', 'I', 'H', 'L', 'F', 'K', 'A', 'M', 'C', 'B', 'G', 'N', 'D'] 1264
